,Spring,Summer,Fall,Winter
1,7.112,5.925,6.816,8.318
2,6.733,6.448,6.048,8.422
3,6.94,6.698,8.228,8.48
4,7.115,6.963,9.978,8.38
5,7.29,7.318,10.628,8.08
6,7.417,8.523,10.663,8.062
7,7.502,9.758,10.483,8.125
8,7.607,10.318,8.343,8.207
9,8.722,10.323,8.193,8.278
10,9.742,10.138,8.283,8.333
11,10.432,8.388,8.388,8.433
12,10.437,8.218,8.478,8.908
13,10.242,8.315,8.568,9.338
14,8.502,8.435,8.728,9.573
15,8.322,8.53,9.703,9.578
16,8.382,8.64,10.588,9.348
17,8.457,8.8,11.108,8.028
18,8.527,9.565,11.113,7.903
19,8.552,10.29,10.848,7.958
20,8.622,10.785,7.878,8.038
21,9.262,10.79,7.673,8.098
22,9.837,10.535,7.758,8.153
23,10.272,7.935,7.838,8.233
24,10.277,7.705,7.918,8.578
