,Spring,Summer,Fall,Winter
1,0.59,0.56,0.79,0.55
2,0.55,0.66,0.79,0.57
3,0.53,0.68,0.7,0.61
4,0.51,0.69,0.7,0.52
5,0.52,0.62,0.73,0.49
6,0.53,0.56,0.75,0.47
7,0.53,0.57,0.5,0.47
8,0.51,0.57,0.47,0.48
9,0.5,0.6,0.47,0.49
10,0.49,0.44,0.47,0.49
11,0.49,0.41,0.48,0.47
12,0.5,0.41,0.5,0.44
13,0.39,0.41,0.51,0.43
14,0.36,0.42,0.47,0.44
15,0.36,0.43,0.46,0.44
16,0.37,0.45,0.44,0.33
17,0.38,0.45,0.46,0.33
18,0.39,0.44,0.48,0.33
19,0.4,0.44,0.34,0.33
20,0.43,0.46,0.33,0.34
21,0.4,0.46,0.33,0.35
22,0.41,0.36,0.31,0.36
23,0.42,0.34,0.34,0.34
