Stage,StateVarName,Weight
0,inflow,1.0
0,inflow:1,1.0
0,inflow:2,1.0
1,inflow,1.0
1,inflow:1,1.0
1,inflow:2,1.0
2,inflow,1.0
2,inflow:1,1.0
2,inflow:2,1.0
3,inflow,1.0
3,inflow:1,1.0
3,inflow:2,1.0
4,inflow,1.0
4,inflow:1,1.0
4,inflow:2,1.0
5,inflow,1.0
5,inflow:1,1.0
5,inflow:2,1.0
6,inflow,1.0
6,inflow:1,1.0
6,inflow:2,1.0
7,inflow,1.0
7,inflow:1,1.0
7,inflow:2,1.0
8,inflow,1.0
8,inflow:1,1.0
8,inflow:2,1.0
9,inflow,1.0
9,inflow:1,1.0
9,inflow:2,1.0
10,inflow,1.0
10,inflow:1,1.0
10,inflow:2,1.0
11,inflow,1.0
11,inflow:1,1.0
11,inflow:2,1.0
12,inflow,1.0
12,inflow:1,1.0
12,inflow:2,1.0
13,inflow,1.0
13,inflow:1,1.0
13,inflow:2,1.0
14,inflow,1.0
14,inflow:1,1.0
14,inflow:2,1.0
15,inflow,1.0
15,inflow:1,1.0
15,inflow:2,1.0
16,inflow,1.0
16,inflow:1,1.0
16,inflow:2,1.0
17,inflow,1.0
17,inflow:1,1.0
17,inflow:2,1.0
18,inflow,1.0
18,inflow:1,1.0
18,inflow:2,1.0
19,inflow,1.0
19,inflow:1,1.0
19,inflow:2,1.0
20,inflow,1.0
20,inflow:1,1.0
20,inflow:2,1.0
21,inflow,1.0
21,inflow:1,1.0
21,inflow:2,1.0
22,inflow,1.0
22,inflow:1,1.0
22,inflow:2,1.0
23,inflow,1.0
23,inflow:1,1.0
23,inflow:2,1.0
24,inflow,1.0
24,inflow:1,1.0
24,inflow:2,1.0
25,inflow,1.0
25,inflow:1,1.0
25,inflow:2,1.0
26,inflow,1.0
26,inflow:1,1.0
26,inflow:2,1.0
27,inflow,1.0
27,inflow:1,1.0
27,inflow:2,1.0
28,inflow,1.0
28,inflow:1,1.0
28,inflow:2,1.0
29,inflow,1.0
29,inflow:1,1.0
29,inflow:2,1.0
30,inflow,1.0
30,inflow:1,1.0
30,inflow:2,1.0
31,inflow,1.0
31,inflow:1,1.0
31,inflow:2,1.0
32,inflow,1.0
32,inflow:1,1.0
32,inflow:2,1.0
33,inflow,1.0
33,inflow:1,1.0
33,inflow:2,1.0
34,inflow,1.0
34,inflow:1,1.0
34,inflow:2,1.0
35,inflow,1.0
35,inflow:1,1.0
35,inflow:2,1.0
36,inflow,1.0
36,inflow:1,1.0
36,inflow:2,1.0
37,inflow,1.0
37,inflow:1,1.0
37,inflow:2,1.0
38,inflow,1.0
38,inflow:1,1.0
38,inflow:2,1.0
39,inflow,1.0
39,inflow:1,1.0
39,inflow:2,1.0
40,inflow,1.0
40,inflow:1,1.0
40,inflow:2,1.0
41,inflow,1.0
41,inflow:1,1.0
41,inflow:2,1.0
42,inflow,1.0
42,inflow:1,1.0
42,inflow:2,1.0
43,inflow,1.0
43,inflow:1,1.0
43,inflow:2,1.0
44,inflow,1.0
44,inflow:1,1.0
44,inflow:2,1.0
45,inflow,1.0
45,inflow:1,1.0
45,inflow:2,1.0
46,inflow,1.0
46,inflow:1,1.0
46,inflow:2,1.0
47,inflow,1.0
47,inflow:1,1.0
47,inflow:2,1.0
48,inflow,1.0
48,inflow:1,1.0
48,inflow:2,1.0
49,inflow,1.0
49,inflow:1,1.0
49,inflow:2,1.0
50,inflow,1.0
50,inflow:1,1.0
50,inflow:2,1.0
51,inflow,1.0
51,inflow:1,1.0
51,inflow:2,1.0
52,inflow,1.0
52,inflow:1,1.0
52,inflow:2,1.0
53,inflow,1.0
53,inflow:1,1.0
53,inflow:2,1.0
54,inflow,1.0
54,inflow:1,1.0
54,inflow:2,1.0
55,inflow,1.0
55,inflow:1,1.0
55,inflow:2,1.0
56,inflow,1.0
56,inflow:1,1.0
56,inflow:2,1.0
57,inflow,1.0
57,inflow:1,1.0
57,inflow:2,1.0
58,inflow,1.0
58,inflow:1,1.0
58,inflow:2,1.0
59,inflow,1.0
59,inflow:1,1.0
59,inflow:2,1.0
60,inflow,1.0
60,inflow:1,1.0
60,inflow:2,1.0
61,inflow,1.0
61,inflow:1,1.0
61,inflow:2,1.0
62,inflow,1.0
62,inflow:1,1.0
62,inflow:2,1.0
63,inflow,1.0
63,inflow:1,1.0
63,inflow:2,1.0
64,inflow,1.0
64,inflow:1,1.0
64,inflow:2,1.0
65,inflow,1.0
65,inflow:1,1.0
65,inflow:2,1.0
66,inflow,1.0
66,inflow:1,1.0
66,inflow:2,1.0
67,inflow,1.0
67,inflow:1,1.0
67,inflow:2,1.0
68,inflow,1.0
68,inflow:1,1.0
68,inflow:2,1.0
69,inflow,1.0
69,inflow:1,1.0
69,inflow:2,1.0
70,inflow,1.0
70,inflow:1,1.0
70,inflow:2,1.0
71,inflow,1.0
71,inflow:1,1.0
71,inflow:2,1.0
72,inflow,1.0
72,inflow:1,1.0
72,inflow:2,1.0
73,inflow,1.0
73,inflow:1,1.0
73,inflow:2,1.0
74,inflow,1.0
74,inflow:1,1.0
74,inflow:2,1.0
75,inflow,1.0
75,inflow:1,1.0
75,inflow:2,1.0
76,inflow,1.0
76,inflow:1,1.0
76,inflow:2,1.0
77,inflow,1.0
77,inflow:1,1.0
77,inflow:2,1.0
78,inflow,1.0
78,inflow:1,1.0
78,inflow:2,1.0
79,inflow,1.0
79,inflow:1,1.0
79,inflow:2,1.0
80,inflow,1.0
80,inflow:1,1.0
80,inflow:2,1.0
81,inflow,1.0
81,inflow:1,1.0
81,inflow:2,1.0
82,inflow,1.0
82,inflow:1,1.0
82,inflow:2,1.0
83,inflow,1.0
83,inflow:1,1.0
83,inflow:2,1.0
84,inflow,1.0
84,inflow:1,1.0
84,inflow:2,1.0
85,inflow,1.0
85,inflow:1,1.0
85,inflow:2,1.0
86,inflow,1.0
86,inflow:1,1.0
86,inflow:2,1.0
87,inflow,1.0
87,inflow:1,1.0
87,inflow:2,1.0
88,inflow,1.0
88,inflow:1,1.0
88,inflow:2,1.0
89,inflow,1.0
89,inflow:1,1.0
89,inflow:2,1.0
90,inflow,1.0
90,inflow:1,1.0
90,inflow:2,1.0
91,inflow,1.0
