Stage,StateVarName,Weight
0,price_0,1.0
0,price_1,1.0
0,price_2,1.0
0,price_3,1.0
0,price_4,1.0
0,price_5,1.0
0,price_6,1.0
0,price_7,1.0
0,price_8,1.0
0,price_9,1.0
0,price_10,1.0
0,price_11,1.0
0,price_12,1.0
0,price_13,1.0
0,price_14,1.0
0,price_15,1.0
0,price_16,1.0
0,price_17,1.0
0,price_18,1.0
0,price_19,1.0
0,price_20,1.0
0,price_21,1.0
0,price_22,1.0
0,price_23,1.0
1,price_0,1.0
1,price_1,1.0
1,price_2,1.0
1,price_3,1.0
1,price_4,1.0
1,price_5,1.0
1,price_6,1.0
1,price_7,1.0
1,price_8,1.0
1,price_9,1.0
1,price_10,1.0
1,price_11,1.0
1,price_12,1.0
1,price_13,1.0
1,price_14,1.0
1,price_15,1.0
1,price_16,1.0
1,price_17,1.0
1,price_18,1.0
1,price_19,1.0
1,price_20,1.0
1,price_21,1.0
1,price_22,1.0
1,price_23,1.0
2,price_0,1.0
2,price_1,1.0
2,price_2,1.0
2,price_3,1.0
2,price_4,1.0
2,price_5,1.0
2,price_6,1.0
2,price_7,1.0
2,price_8,1.0
2,price_9,1.0
2,price_10,1.0
2,price_11,1.0
2,price_12,1.0
2,price_13,1.0
2,price_14,1.0
2,price_15,1.0
2,price_16,1.0
2,price_17,1.0
2,price_18,1.0
2,price_19,1.0
2,price_20,1.0
2,price_21,1.0
2,price_22,1.0
2,price_23,1.0
3,price_0,1.0
3,price_1,1.0
3,price_2,1.0
3,price_3,1.0
3,price_4,1.0
3,price_5,1.0
3,price_6,1.0
3,price_7,1.0
3,price_8,1.0
3,price_9,1.0
3,price_10,1.0
3,price_11,1.0
3,price_12,1.0
3,price_13,1.0
3,price_14,1.0
3,price_15,1.0
3,price_16,1.0
3,price_17,1.0
3,price_18,1.0
3,price_19,1.0
3,price_20,1.0
3,price_21,1.0
3,price_22,1.0
3,price_23,1.0
4,price_0,1.0
4,price_1,1.0
4,price_2,1.0
4,price_3,1.0
4,price_4,1.0
4,price_5,1.0
4,price_6,1.0
4,price_7,1.0
4,price_8,1.0
4,price_9,1.0
4,price_10,1.0
4,price_11,1.0
4,price_12,1.0
4,price_13,1.0
4,price_14,1.0
4,price_15,1.0
4,price_16,1.0
4,price_17,1.0
4,price_18,1.0
4,price_19,1.0
4,price_20,1.0
4,price_21,1.0
4,price_22,1.0
4,price_23,1.0
5,price_0,1.0
5,price_1,1.0
5,price_2,1.0
5,price_3,1.0
5,price_4,1.0
5,price_5,1.0
5,price_6,1.0
5,price_7,1.0
5,price_8,1.0
5,price_9,1.0
5,price_10,1.0
5,price_11,1.0
5,price_12,1.0
5,price_13,1.0
5,price_14,1.0
5,price_15,1.0
5,price_16,1.0
5,price_17,1.0
5,price_18,1.0
5,price_19,1.0
5,price_20,1.0
5,price_21,1.0
5,price_22,1.0
5,price_23,1.0
6,price_0,1.0
6,price_1,1.0
6,price_2,1.0
6,price_3,1.0
6,price_4,1.0
6,price_5,1.0
6,price_6,1.0
6,price_7,1.0
6,price_8,1.0
6,price_9,1.0
6,price_10,1.0
6,price_11,1.0
6,price_12,1.0
6,price_13,1.0
6,price_14,1.0
6,price_15,1.0
6,price_16,1.0
6,price_17,1.0
6,price_18,1.0
6,price_19,1.0
6,price_20,1.0
6,price_21,1.0
6,price_22,1.0
6,price_23,1.0
7,price_0,1.0
7,price_1,1.0
7,price_2,1.0
7,price_3,1.0
7,price_4,1.0
7,price_5,1.0
7,price_6,1.0
7,price_7,1.0
7,price_8,1.0
7,price_9,1.0
7,price_10,1.0
7,price_11,1.0
7,price_12,1.0
7,price_13,1.0
7,price_14,1.0
7,price_15,1.0
7,price_16,1.0
7,price_17,1.0
7,price_18,1.0
7,price_19,1.0
7,price_20,1.0
7,price_21,1.0
7,price_22,1.0
7,price_23,1.0
8,price_0,1.0
8,price_1,1.0
8,price_2,1.0
8,price_3,1.0
8,price_4,1.0
